"Serial","Participant","ActionType","ActionParameters","Date","Time","Group","Day","duration"
"2127","VASTA6W","GetDetail","Article 193","7/17/19",10H 50M 40S,"Group2","Day1",10
"2128","VASTA6W","GetDetail","Article 193","7/17/19",10H 50M 50S,"Group2","Day1",2
"2129","VASTA6W","GetDetail","Article 193","7/17/19",10H 50M 52S,"Group2","Day1",2
"2130","VASTA6W","GetDetail","Article 112","7/17/19",10H 50M 54S,"Group2","Day1",31
"2131","VASTA6W","GetDetail","Article 112","7/17/19",10H 51M 25S,"Group2","Day1",2
"2132","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",10H 51M 27S,"Group2","Day1",5
"2133","VASTA6W","GetDetail","Article 223","7/17/19",10H 51M 32S,"Group2","Day1",9
"2134","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",10H 51M 41S,"Group2","Day1",1
"2135","VASTA6W","AddConnection","Karel Kapelou II (Kronosian President), Karel Kapelou II (Kronos, K, Mestache Vardshvna, Karel Kapelou II (Kronosian President)","7/17/19",10H 51M 42S,"Group2","Day1",3
"2136","VASTA6W","AddConnection","Karel Kapelou II (Kronosian President), Karel Kapelou II (Kronos, K, Mestache Vardshvna, Karel Kapelou II (Kronosian President)","7/17/19",10H 51M 45S,"Group2","Day1",1
"2137","VASTA6W","AddConnection","Karel Kapelou II (Kronosian President), Karel Kapelou II (Kronos, K, Mestache Vardshvna, Karel Kapelou II (Kronosian President)","7/17/19",10H 51M 46S,"Group2","Day1",5
"2138","VASTA6W","AddConnection","Karel Kapelou II (Kronosian President), Karel Kapelou II (Kronos, K, Mestache Vardshvna, Karel Kapelou II (Kronosian President)","7/17/19",10H 51M 51S,"Group2","Day1",18
"2139","VASTA6W","AddConnection","Karel Kapelou II (Kronosian President), Karel Kapelou II (Kronos, K, Mestache Vardshvna, Karel Kapelou II (Kronosian President)","7/17/19",10H 52M 9S,"Group2","Day1",2
"2140","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",10H 52M 11S,"Group2","Day1",30
"2141","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",10H 52M 41S,"Group2","Day1",1
"2142","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",10H 52M 42S,"Group2","Day1",4
"2143","VASTA6W","AddElement","M","7/17/19",10H 52M 46S,"Group2","Day1",2
"2144","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",10H 52M 48S,"Group2","Day1",5
"2145","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 5","7/17/19",10H 52M 53S,"Group2","Day1",11
"2146","VASTA6W","GetDetail","Article 223","7/17/19",10H 53M 4S,"Group2","Day1",187
"2147","VASTA6W","GetDetail","Article 223","7/17/19",10H 56M 11S,"Group2","Day1",2
"2148","VASTA6W","GetDetail","Article 129","7/17/19",10H 56M 13S,"Group2","Day1",15
"2149","VASTA6W","GetDetail","Article 223","7/17/19",10H 56M 28S,"Group2","Day1",1
"2150","VASTA6W","GetDetail","Article 129","7/17/19",10H 56M 29S,"Group2","Day1",1
"2151","VASTA6W","GetDetail","Article 155","7/17/19",10H 56M 30S,"Group2","Day1",11
"2152","VASTA6W","GetDetail","Article 155","7/17/19",10H 56M 41S,"Group2","Day1",3
"2153","VASTA6W","GetDetail","Article 155","7/17/19",10H 56M 44S,"Group2","Day1",2
"2154","VASTA6W","GetDetail","Article 191","7/17/19",10H 56M 46S,"Group2","Day1",12
"2155","VASTA6W","GetDetail","Article 155","7/17/19",10H 56M 58S,"Group2","Day1",1
"2156","VASTA6W","GetDetail","Article 191","7/17/19",10H 56M 59S,"Group2","Day1",6
"2157","VASTA6W","GetDetail","Article 193","7/17/19",10H 57M 5S,"Group2","Day1",1
"2158","VASTA6W","GetDetail","Article 193","7/17/19",10H 57M 6S,"Group2","Day1",7
"2159","VASTA6W","GetDetail","Article 112","7/17/19",10H 57M 13S,"Group2","Day1",9
"2160","VASTA6W","GetDetail","Article 193","7/17/19",10H 57M 22S,"Group2","Day1",2
"2161","VASTA6W","GetDetail","Article 112","7/17/19",10H 57M 24S,"Group2","Day1",14
"2162","VASTA6W","GetDetail","Article 112","7/17/19",10H 57M 38S,"Group2","Day1",5
"2163","VASTA6W","GetDetail","Article 112","7/17/19",10H 57M 43S,"Group2","Day1",1
"2164","VASTA6W","GetDetail","Article 115","7/17/19",10H 57M 44S,"Group2","Day1",5
"2165","VASTA6W","GetDetail","Article 80","7/17/19",10H 57M 49S,"Group2","Day1",4
"2166","VASTA6W","GetDetail","Article 80","7/17/19",10H 57M 53S,"Group2","Day1",2
"2167","VASTA6W","GetDetail","Article 180","7/17/19",10H 57M 55S,"Group2","Day1",4
"2168","VASTA6W","GetDetail","Article 180","7/17/19",10H 57M 59S,"Group2","Day1",4
"2169","VASTA6W","GetDetail","Article 196","7/17/19",10H 58M 3S,"Group2","Day1",5
"2170","VASTA6W","GetDetail","Article 196","7/17/19",10H 58M 8S,"Group2","Day1",4
"2171","VASTA6W","GetDetail","Article 294","7/17/19",10H 58M 12S,"Group2","Day1",8
"2172","VASTA6W","GetDetail","Article 294","7/17/19",10H 58M 20S,"Group2","Day1",8
"2173","VASTA6W","GetDetail","Article 366","7/17/19",10H 58M 28S,"Group2","Day1",7
"2174","VASTA6W","GetDetail","Article 366","7/17/19",10H 58M 35S,"Group2","Day1",4
"2175","VASTA6W","GetDetail","Article 366","7/17/19",10H 58M 39S,"Group2","Day1",2
"2176","VASTA6W","GetDetail","Article 362","7/17/19",10H 58M 41S,"Group2","Day1",7
"2177","VASTA6W","GetDetail","Article 362","7/17/19",10H 58M 48S,"Group2","Day1",2
"2178","VASTA6W","GetDetail","Article 2","7/17/19",10H 58M 50S,"Group2","Day1",11
"2179","VASTA6W","GetDetail","Article 2","7/17/19",10H 59M 1S,"Group2","Day1",6
"2180","VASTA6W","GetDetail","Article 387","7/17/19",10H 59M 7S,"Group2","Day1",6
"2181","VASTA6W","GetDetail","Article 387","7/17/19",10H 59M 13S,"Group2","Day1",3
"2182","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 6","7/17/19",10H 59M 16S,"Group2","Day1",10
"2183","VASTA6W","GetDetail","Article 79","7/17/19",10H 59M 26S,"Group2","Day1",7
"2184","VASTA6W","GetDetail","Article 182","7/17/19",10H 59M 33S,"Group2","Day1",3
"2185","VASTA6W","GetDetail","Article 60","7/17/19",10H 59M 36S,"Group2","Day1",5
"2186","VASTA6W","GetDetail","Article 219","7/17/19",10H 59M 41S,"Group2","Day1",6
"2187","VASTA6W","GetDetail","Article 219","7/17/19",10H 59M 47S,"Group2","Day1",2
"2188","VASTA6W","GetDetail","Article 150","7/17/19",10H 59M 49S,"Group2","Day1",4
"2189","VASTA6W","GetDetail","Article 54","7/17/19",10H 59M 53S,"Group2","Day1",13
"2190","VASTA6W","GetDetail","Article 54","7/17/19",11H 0M 6S,"Group2","Day1",3
"2191","VASTA6W","GetDetail","Article 54","7/17/19",11H 0M 9S,"Group2","Day1",2
"2192","VASTA6W","GetDetail","Article 102","7/17/19",11H 0M 11S,"Group2","Day1",8
"2193","VASTA6W","GetDetail","Article 135","7/17/19",11H 0M 19S,"Group2","Day1",4
"2194","VASTA6W","GetDetail","Article 132","7/17/19",11H 0M 23S,"Group2","Day1",3
"2195","VASTA6W","GetDetail","Article 139","7/17/19",11H 0M 26S,"Group2","Day1",8
"2196","VASTA6W","GetDetail","Article 139","7/17/19",11H 0M 34S,"Group2","Day1",2
"2197","VASTA6W","GetDetail","Article 422","7/17/19",11H 0M 36S,"Group2","Day1",3
"2198","VASTA6W","GetDetail","Article 422","7/17/19",11H 0M 39S,"Group2","Day1",3
"2199","VASTA6W","GetDetail","Article 88","7/17/19",11H 0M 42S,"Group2","Day1",4
"2200","VASTA6W","GetDetail","Article 393","7/17/19",11H 0M 46S,"Group2","Day1",2
"2201","VASTA6W","GetDetail","Article 260","7/17/19",11H 0M 48S,"Group2","Day1",7
"2202","VASTA6W","GetDetail","Article 260","7/17/19",11H 0M 55S,"Group2","Day1",3
"2203","VASTA6W","GetDetail","Article 195","7/17/19",11H 0M 58S,"Group2","Day1",8
"2204","VASTA6W","GetDetail","Article 195","7/17/19",11H 1M 6S,"Group2","Day1",6
"2205","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 7","7/17/19",11H 1M 12S,"Group2","Day1",3
"2206","VASTA6W","GetDetail","Article 371","7/17/19",11H 1M 15S,"Group2","Day1",9
"2207","VASTA6W","GetDetail","Article 371","7/17/19",11H 1M 24S,"Group2","Day1",3
"2208","VASTA6W","GetDetail","Article 135","7/17/19",11H 1M 27S,"Group2","Day1",19
"2209","VASTA6W","GetDetail","Article 135","7/17/19",11H 1M 46S,"Group2","Day1",2
"2210","VASTA6W","GetDetail","Article 35","7/17/19",11H 1M 48S,"Group2","Day1",5
"2211","VASTA6W","GetDetail","Article 68","7/17/19",11H 1M 53S,"Group2","Day1",2
"2212","VASTA6W","GetDetail","Article 35","7/17/19",11H 1M 55S,"Group2","Day1",1
"2213","VASTA6W","GetDetail","Article 68","7/17/19",11H 1M 56S,"Group2","Day1",7
"2214","VASTA6W","GetDetail","Article 314","7/17/19",11H 2M 3S,"Group2","Day1",4
"2215","VASTA6W","GetDetail","Article 422","7/17/19",11H 2M 7S,"Group2","Day1",2
"2216","VASTA6W","GetDetail","Article 314","7/17/19",11H 2M 9S,"Group2","Day1",4
"2217","VASTA6W","GetDetail","Article 422","7/17/19",11H 2M 13S,"Group2","Day1",6
"2218","VASTA6W","GetDetail","Article 1","7/17/19",11H 2M 19S,"Group2","Day1",4
"2219","VASTA6W","GetDetail","Article 1","7/17/19",11H 2M 23S,"Group2","Day1",4
"2220","VASTA6W","GetDetail","Article 4","7/17/19",11H 2M 27S,"Group2","Day1",7
"2221","VASTA6W","GetDetail","Article 211","7/17/19",11H 2M 34S,"Group2","Day1",2
"2222","VASTA6W","GetDetail","Article 4","7/17/19",11H 2M 36S,"Group2","Day1",2
"2223","VASTA6W","GetDetail","Article 211","7/17/19",11H 2M 38S,"Group2","Day1",2
"2224","VASTA6W","GetDetail","Article 4","7/17/19",11H 2M 40S,"Group2","Day1",12
"2225","VASTA6W","GetDetail","Article 211","7/17/19",11H 2M 52S,"Group2","Day1",4
"2226","VASTA6W","GetDetail","Article 108","7/17/19",11H 2M 56S,"Group2","Day1",16
"2227","VASTA6W","GetDetail","Article 108","7/17/19",11H 3M 12S,"Group2","Day1",4
"2228","VASTA6W","GetDetail","Article 108","7/17/19",11H 3M 16S,"Group2","Day1",2
"2229","VASTA6W","GetDetail","Article 183","7/17/19",11H 3M 18S,"Group2","Day1",9
"2230","VASTA6W","GetDetail","Article 183","7/17/19",11H 3M 27S,"Group2","Day1",1
"2231","VASTA6W","GetDetail","Article 183","7/17/19",11H 3M 28S,"Group2","Day1",13
"2232","VASTA6W","GetDetail","Article 183","7/17/19",11H 3M 41S,"Group2","Day1",4
"2233","VASTA6W","GetDetail","Article 221","7/17/19",11H 3M 45S,"Group2","Day1",12
"2234","VASTA6W","GetDetail","Article 221","7/17/19",11H 3M 57S,"Group2","Day1",3
"2235","VASTA6W","GetDetail","Article 95","7/17/19",11H 4M 0S,"Group2","Day1",4
"2236","VASTA6W","GetDetail","Article 381","7/17/19",11H 4M 4S,"Group2","Day1",9
"2237","VASTA6W","GetDetail","Article 95","7/17/19",11H 4M 13S,"Group2","Day1",2
"2238","VASTA6W","GetDetail","Article 221","7/17/19",11H 4M 15S,"Group2","Day1",10
"2239","VASTA6W","GetDetail","Article 95","7/17/19",11H 4M 25S,"Group2","Day1",5
"2240","VASTA6W","GetDetail","Article 381","7/17/19",11H 4M 30S,"Group2","Day1",11
"2241","VASTA6W","GetDetail","Article 165","7/17/19",11H 4M 41S,"Group2","Day1",6
"2242","VASTA6W","GetDetail","Article 165","7/17/19",11H 4M 47S,"Group2","Day1",3
"2243","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 8","7/17/19",11H 4M 50S,"Group2","Day1",4
"2244","VASTA6W","GetDetail","Article 217","7/17/19",11H 4M 54S,"Group2","Day1",4
"2245","VASTA6W","GetDetail","Article 78","7/17/19",11H 4M 58S,"Group2","Day1",10
"2246","VASTA6W","GetDetail","Article 78","7/17/19",11H 5M 8S,"Group2","Day1",2
"2247","VASTA6W","GetDetail","Article 161","7/17/19",11H 5M 10S,"Group2","Day1",3
"2248","VASTA6W","GetDetail","Article 282","7/17/19",11H 5M 13S,"Group2","Day1",6
"2249","VASTA6W","GetDetail","Article 183","7/17/19",11H 5M 19S,"Group2","Day1",5
"2250","VASTA6W","GetDetail","Article 381","7/17/19",11H 5M 24S,"Group2","Day1",6
"2251","VASTA6W","GetDetail","Article 9","7/17/19",11H 5M 30S,"Group2","Day1",2
"2252","VASTA6W","GetDetail","Article 165","7/17/19",11H 5M 32S,"Group2","Day1",5
"2253","VASTA6W","GetDetail","Article 72","7/17/19",11H 5M 37S,"Group2","Day1",4
"2254","VASTA6W","GetDetail","Article 181","7/17/19",11H 5M 41S,"Group2","Day1",4
"2255","VASTA6W","GetDetail","Article 289","7/17/19",11H 5M 45S,"Group2","Day1",13
"2256","VASTA6W","GetDetail","Article 289","7/17/19",11H 5M 58S,"Group2","Day1",7
"2257","VASTA6W","GetDetail","Article 385","7/17/19",11H 6M 5S,"Group2","Day1",3
"2258","VASTA6W","GetDetail","Article 5","7/17/19",11H 6M 8S,"Group2","Day1",4
"2259","VASTA6W","GetDetail","Article 203","7/17/19",11H 6M 12S,"Group2","Day1",4
"2260","VASTA6W","GetDetail","Article 351","7/17/19",11H 6M 16S,"Group2","Day1",5
"2261","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 6M 21S,"Group2","Day1",2
"2262","VASTA6W","GetDetail","Article 92","7/17/19",11H 6M 23S,"Group2","Day1",3
"2263","VASTA6W","GetDetail","Article 318","7/17/19",11H 6M 26S,"Group2","Day1",3
"2264","VASTA6W","GetDetail","Article 354","7/17/19",11H 6M 29S,"Group2","Day1",4
"2265","VASTA6W","GetDetail","Article 412","7/17/19",11H 6M 33S,"Group2","Day1",7
"2266","VASTA6W","GetDetail","Article 412","7/17/19",11H 6M 40S,"Group2","Day1",2
"2267","VASTA6W","GetDetail","Article 203","7/17/19",11H 6M 42S,"Group2","Day1",3
"2268","VASTA6W","GetDetail","Article 341","7/17/19",11H 6M 45S,"Group2","Day1",1
"2269","VASTA6W","GetDetail","Article 289","7/17/19",11H 6M 46S,"Group2","Day1",2
"2270","VASTA6W","GetDetail","Article 341","7/17/19",11H 6M 48S,"Group2","Day1",8
"2271","VASTA6W","GetDetail","Article 289","7/17/19",11H 6M 56S,"Group2","Day1",10
"2272","VASTA6W","GetDetail","Article 426","7/17/19",11H 7M 6S,"Group2","Day1",4
"2273","VASTA6W","GetDetail","Article 232","7/17/19",11H 7M 10S,"Group2","Day1",8
"2274","VASTA6W","GetDetail","Article 232","7/17/19",11H 7M 18S,"Group2","Day1",3
"2275","VASTA6W","GetDetail","Article 73","7/17/19",11H 7M 21S,"Group2","Day1",4
"2276","VASTA6W","GetDetail","Article 388","7/17/19",11H 7M 25S,"Group2","Day1",3
"2277","VASTA6W","GetDetail","Article 385","7/17/19",11H 7M 28S,"Group2","Day1",4
"2278","VASTA6W","GetDetail","Article 385","7/17/19",11H 7M 32S,"Group2","Day1",2
"2279","VASTA6W","GetDetail","Article 168","7/17/19",11H 7M 34S,"Group2","Day1",26
"2280","VASTA6W","EditNotes","VASTA6W_revision_25_July_17_11:08_AM.patch","7/17/19",11H 8M 0S,"Group2","Day1",42
"2281","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 8M 42S,"Group2","Day1",9
"2282","VASTA6W","AddElement","CFO Ingrid Barranco","7/17/19",11H 8M 51S,"Group2","Day1",24
"2283","VASTA6W","AddElement","CIO Ada Campo-Corrente","7/17/19",11H 9M 15S,"Group2","Day1",18
"2284","VASTA6W","AddElement","COO Orhan Strum","7/17/19",11H 9M 33S,"Group2","Day1",33
"2285","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 10M 6S,"Group2","Day1",2
"2286","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 10M 8S,"Group2","Day1",1
"2287","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 10M 9S,"Group2","Day1",3
"2288","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 10M 12S,"Group2","Day1",2
"2289","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 10M 14S,"Group2","Day1",3
"2290","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 10M 17S,"Group2","Day1",2
"2291","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 9","7/17/19",11H 10M 19S,"Group2","Day1",10
"2292","VASTA6W","GetDetail","Article 73","7/17/19",11H 10M 29S,"Group2","Day1",1
"2293","VASTA6W","GetDetail","Article 388","7/17/19",11H 10M 30S,"Group2","Day1",1
"2294","VASTA6W","GetDetail","Article 385","7/17/19",11H 10M 31S,"Group2","Day1",2
"2295","VASTA6W","GetDetail","Article 168","7/17/19",11H 10M 33S,"Group2","Day1",4
"2296","VASTA6W","GetDetail","Article 449","7/17/19",11H 10M 37S,"Group2","Day1",6
"2297","VASTA6W","GetDetail","Article 263","7/17/19",11H 10M 43S,"Group2","Day1",14
"2298","VASTA6W","GetDetail","Article 449","7/17/19",11H 10M 57S,"Group2","Day1",5
"2299","VASTA6W","GetDetail","Article 263","7/17/19",11H 11M 2S,"Group2","Day1",2
"2300","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 10","7/17/19",11H 11M 4S,"Group2","Day1",4
"2301","VASTA6W","GetDetail","Article 123","7/17/19",11H 11M 8S,"Group2","Day1",34
"2302","VASTA6W","GetDetail","Article 123","7/17/19",11H 11M 42S,"Group2","Day1",1
"2303","VASTA6W","GetDetail","Article 38","7/17/19",11H 11M 43S,"Group2","Day1",14
"2304","VASTA6W","GetDetail","Article 38","7/17/19",11H 11M 57S,"Group2","Day1",2
"2305","VASTA6W","GetDetail","Article 87","7/17/19",11H 11M 59S,"Group2","Day1",61
"2306","VASTA6W","EditNotes","VASTA6W_revision_27_July_17_11:13_AM.patch","7/17/19",11H 13M 0S,"Group2","Day1",43
"2307","VASTA6W","GetDetail","Article 87","7/17/19",11H 13M 43S,"Group2","Day1",1
"2308","VASTA6W","GetDetail","Article 375","7/17/19",11H 13M 44S,"Group2","Day1",19
"2309","VASTA6W","GetDetail","Article 119","7/17/19",11H 14M 3S,"Group2","Day1",12
"2310","VASTA6W","GetDetail","Article 382","7/17/19",11H 14M 15S,"Group2","Day1",17
"2311","VASTA6W","GetDetail","Article 245","7/17/19",11H 14M 32S,"Group2","Day1",19
"2312","VASTA6W","GetDetail","Article 241","7/17/19",11H 14M 51S,"Group2","Day1",6
"2313","VASTA6W","GetDetail","Article 67","7/17/19",11H 14M 57S,"Group2","Day1",46
"2314","VASTA6W","GetDetail","Article 67","7/17/19",11H 15M 43S,"Group2","Day1",2
"2315","VASTA6W","GetDetail","Article 67","7/17/19",11H 15M 45S,"Group2","Day1",3
"2316","VASTA6W","GetDetail","Article 128","7/17/19",11H 15M 48S,"Group2","Day1",18
"2317","VASTA6W","GetDetail","Article 128","7/17/19",11H 16M 6S,"Group2","Day1",2
"2318","VASTA6W","GetDetail","Article 324","7/17/19",11H 16M 8S,"Group2","Day1",8
"2319","VASTA6W","GetDetail","Article 324","7/17/19",11H 16M 16S,"Group2","Day1",2
"2320","VASTA6W","GetDetail","Article 8","7/17/19",11H 16M 18S,"Group2","Day1",15
"2321","VASTA6W","GetDetail","Article 8","7/17/19",11H 16M 33S,"Group2","Day1",4
"2322","VASTA6W","GetDetail","Article 127","7/17/19",11H 16M 37S,"Group2","Day1",15
"2323","VASTA6W","GetDetail","Article 336","7/17/19",11H 16M 52S,"Group2","Day1",19
"2324","VASTA6W","GetDetail","Article 240","7/17/19",11H 17M 11S,"Group2","Day1",28
"2325","VASTA6W","GetDetail","Article 240","7/17/19",11H 17M 39S,"Group2","Day1",5
"2326","VASTA6W","GetDetail","Article 240","7/17/19",11H 17M 44S,"Group2","Day1",5
"2327","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 11","7/17/19",11H 17M 49S,"Group2","Day1",6
"2328","VASTA6W","GetDetail","Article 125","7/17/19",11H 17M 55S,"Group2","Day1",21
"2329","VASTA6W","GetDetail","Article 103","7/17/19",11H 18M 16S,"Group2","Day1",9
"2330","VASTA6W","GetDetail","Article 110","7/17/19",11H 18M 25S,"Group2","Day1",12
"2331","VASTA6W","GetDetail","Article 44","7/17/19",11H 18M 37S,"Group2","Day1",206
"2332","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 10","7/17/19",11H 22M 3S,"Group2","Day1",5
"2333","VASTA6W","GetDetail","Article 240","7/17/19",11H 22M 8S,"Group2","Day1",47
"2334","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 11","7/17/19",11H 22M 55S,"Group2","Day1",1
"2335","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 10","7/17/19",11H 22M 56S,"Group2","Day1",3
"2336","VASTA6W","GetDetail","Article 240","7/17/19",11H 22M 59S,"Group2","Day1",2
"2337","VASTA6W","GetDetail","Article 240","7/17/19",11H 23M 1S,"Group2","Day1",4
"2338","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 11","7/17/19",11H 23M 5S,"Group2","Day1",4
"2339","VASTA6W","GetDetail","Article 125","7/17/19",11H 23M 9S,"Group2","Day1",4
"2340","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 12","7/17/19",11H 23M 13S,"Group2","Day1",4
"2341","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 13","7/17/19",11H 23M 17S,"Group2","Day1",1
"2342","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 14","7/17/19",11H 23M 18S,"Group2","Day1",1
"2343","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 15","7/17/19",11H 23M 19S,"Group2","Day1",1
"2344","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 18","7/17/19",11H 23M 20S,"Group2","Day1",1
"2345","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 24","7/17/19",11H 23M 21S,"Group2","Day1",1
"2346","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 28","7/17/19",11H 23M 22S,"Group2","Day1",1
"2347","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 35","7/17/19",11H 23M 23S,"Group2","Day1",2
"2348","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 34","7/17/19",11H 23M 25S,"Group2","Day1",3
"2349","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 33","7/17/19",11H 23M 28S,"Group2","Day1",1
"2350","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 32","7/17/19",11H 23M 29S,"Group2","Day1",1
"2351","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 31","7/17/19",11H 23M 30S,"Group2","Day1",1
"2352","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 30","7/17/19",11H 23M 31S,"Group2","Day1",8
"2353","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 31","7/17/19",11H 23M 39S,"Group2","Day1",2
"2354","VASTA6W","Search"," from 1982-01-01 to 2015-01-01 page 30","7/17/19",11H 23M 41S,"Group2","Day1",NA
"2355","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 17M 9S,"Group2","Day2",1
"2356","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 17M 10S,"Group2","Day2",NA
"2357","VASTA6W","AddElement","Karel Kapelou II)","7/18/19",8H 25M 31S,"Group2","Day2",4
"2358","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 25M 35S,"Group2","Day2",2
"2359","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 25M 37S,"Group2","Day2",4
"2360","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 25M 41S,"Group2","Day2",28
"2361","VASTA6W","AddElement","Sten Sanjorge Jr (CEO)","7/18/19",8H 26M 9S,"Group2","Day2",9
"2362","VASTA6W","AddElement","GAStech","7/18/19",8H 26M 18S,"Group2","Day2",34
"2363","VASTA6W","AddElement","Ingrid Barranco (CFO)","7/18/19",8H 26M 52S,"Group2","Day2",166
"2364","VASTA6W","AddElement","Ada Campo-Corrente (CIO)","7/18/19",8H 29M 38S,"Group2","Day2",46
"2365","VASTA6W","AddElement","Orhan Strum (COO)","7/18/19",8H 30M 24S,"Group2","Day2",29
"2366","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 30M 53S,"Group2","Day2",2
"2367","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 30M 55S,"Group2","Day2",17
"2368","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 31M 12S,"Group2","Day2",1
"2369","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 31M 13S,"Group2","Day2",32
"2370","VASTA6W","AddElement","Kronos Government","7/18/19",8H 31M 45S,"Group2","Day2",62
"2371","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 32M 47S,"Group2","Day2",7
"2372","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 32M 54S,"Group2","Day2",1
"2373","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 32M 55S,"Group2","Day2",2
"2374","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 32M 57S,"Group2","Day2",1
"2375","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 32M 58S,"Group2","Day2",1
"2376","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 32M 59S,"Group2","Day2",3
"2377","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 2S,"Group2","Day2",4
"2378","VASTA6W","AddConnection","Karel Kapelou II), Sten Sanjorge Jr (CEO), Ada Campo-Corrente (CIO), Ingrid Barranco (CFO), Orhan Strum (COO)","7/18/19",8H 33M 6S,"Group2","Day2",1
"2379","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 7S,"Group2","Day2",1
"2380","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 8S,"Group2","Day2",4
"2381","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 12S,"Group2","Day2",1
"2382","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 13S,"Group2","Day2",5
"2383","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 18S,"Group2","Day2",1
"2384","VASTA6W","AddConnection","Kronos Government","7/18/19",8H 33M 19S,"Group2","Day2",1
"2385","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 20S,"Group2","Day2",5
"2386","VASTA6W","AddConnection","Kronos Government","7/18/19",8H 33M 25S,"Group2","Day2",1
"2387","VASTA6W","Search","None from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 33M 26S,"Group2","Day2",1
