"Serial","Participant","ActionType","ActionParameters","Date","Time","Group","Day","duration"
"60","VAST32P","GetDetail","Article 302","7/17/19",11H 16M 47S,"Group2","Day1",22
"61","VAST32P","GetDetail","Article 198","7/17/19",11H 17M 9S,"Group2","Day1",30
"62","VAST32P","GetDetail","Article 164","7/17/19",11H 17M 39S,"Group2","Day1",40
"63","VAST32P","GetDetail","Article 264","7/17/19",11H 18M 19S,"Group2","Day1",7
"64","VAST32P","GetDetail","Article 253","7/17/19",11H 18M 26S,"Group2","Day1",7
"65","VAST32P","GetDetail","Article 441","7/17/19",11H 18M 33S,"Group2","Day1",5
"66","VAST32P","GetDetail","Article 112","7/17/19",11H 18M 38S,"Group2","Day1",8
"67","VAST32P","GetDetail","Article 112","7/17/19",11H 18M 46S,"Group2","Day1",16
"68","VAST32P","Search","Vann from 1982-01-01 to 2015-01-01 page 1","7/17/19",11H 19M 2S,"Group2","Day1",7
"69","VAST32P","GetDetail","Article 79","7/17/19",11H 19M 9S,"Group2","Day1",15
"70","VAST32P","GetDetail","Article 4","7/17/19",11H 19M 24S,"Group2","Day1",14
"71","VAST32P","GetDetail","Article 4","7/17/19",11H 19M 38S,"Group2","Day1",6
"72","VAST32P","GetDetail","Article 449","7/17/19",11H 19M 44S,"Group2","Day1",12
"73","VAST32P","GetDetail","Article 263","7/17/19",11H 19M 56S,"Group2","Day1",17
"74","VAST32P","GetDetail","Article 38","7/17/19",11H 20M 13S,"Group2","Day1",26
"75","VAST32P","GetDetail","Article 117","7/17/19",11H 20M 39S,"Group2","Day1",44
"76","VAST32P","GetDetail","Article 251","7/17/19",11H 21M 23S,"Group2","Day1",109
"77","VAST32P","GetDetail","Article 222","7/17/19",11H 23M 12S,"Group2","Day1",108
"78","VAST32P","EditNotes","VAST32P_revision_21_July_17_11:25_AM.patch","7/17/19",11H 25M 0S,"Group2","Day1",153
"79","VAST32P","GetDetail","Article 436","7/17/19",11H 27M 33S,"Group2","Day1",10
"80","VAST32P","GetDetail","Article 457","7/17/19",11H 27M 43S,"Group2","Day1",20
"81","VAST32P","GetDetail","Article 308","7/17/19",11H 28M 3S,"Group2","Day1",80
"82","VAST32P","GetDetail","Article 143","7/17/19",11H 29M 23S,"Group2","Day1",157
"83","VAST32P","EditNotes","VAST32P_revision_25_July_17_11:32_AM.patch","7/17/19",11H 32M 0S,"Group2","Day1",81
"84","VAST32P","GetDetail","Article 320","7/17/19",11H 33M 21S,"Group2","Day1",36
"85","VAST32P","GetDetail","Article 40","7/17/19",11H 33M 57S,"Group2","Day1",47
"86","VAST32P","Search","Vann from 1982-01-01 to 2015-01-01 page 1","7/17/19",11H 34M 44S,"Group2","Day1",8
"87","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 34M 52S,"Group2","Day1",4
